Date,Timestamp,Account No,Balance,Amount,Third Party Account No,Third Party Name
01/01/2023,0:00,117273481,-10,-897,,LBG
01/01/2023,0:00,117273481,-17.99,-7.99,,Amazon
01/01/2023,0:00,117273481,-25.98,-7.99,,Disney
01/01/2023,11:29,117273481,-32.97,-6.99,,The Works
01/01/2023,12:51,117273481,-116.8265,-83.86,,Tesco
02/01/2023,8:03,117273481,-122.4265,-5.6,,Coffee #1
02/01/2023,9:12,117273481,-128.1265,-5.7,,Coffee #1
03/01/2023,9:21,117273481,-133.9265,-5.8,,Coffee #1
04/01/2023,9:17,117273481,-139.6265,-5.7,,Coffee #1
05/01/2023,9:22,117273481,-229.8271,-90.2,,Sainsbury
12/01/2023,18:57,117273481,-386.3415,-156.51,,Tesco
24/01/2023,9:30,117273481,-573.8981,-187.56,,Sainsbury
31/01/2023,0:00,117273481,2802.1019,3376,,CPA
31/01/2023,9:11,117273481,2796.7019,-5.4,,Coffee #1
31/01/2023,17:35,117273481,2776.7319,-19.97,,The Works
01/02/2023,0:00,117273481,1879.7319,-897,,LBG
31/01/2023,23:59,117273481,1871.7419,-7.99,,Amazon
31/01/2023,23:59,117273481,1863.7519,-7.99,,Disney
01/02/2023,8:22,117273481,1862.996618,-0.76,,Etsy
01/02/2023,9:23,117273481,1856.896618,-6.1,,Coffee #1
01/02/2023,17:46,117273481,1693.926618,-162.97,,Sports Direct
01/02/2023,18:22,117273481,1663.936618,-29.99,,Hobby Lobby
02/02/2023,9:22,117273481,1658.136618,-5.8,,Coffee #1
05/02/2023,10:43,117273481,1618.176618,-39.96,,The Works
06/02/2023,9:22,117273481,1613.076618,-5.1,,Coffee #1
07/02/2023,9:14,117273481,1608.026618,-5.05,,Coffee #1
08/02/2023,9:02,117273481,1602.276618,-5.75,,Coffee #1
08/02/2023,17:22,117273481,1572.296618,-29.98,,Five Senses Art
08/02/2023,18:26,117273481,1403.000918,-169.3,,Tesco
09/02/2023,9:21,117273481,1397.300918,-5.7,,Coffee #1
10/02/2023,9:22,117273481,1389.800918,-7.5,,Coffee #1
11/02/2023,9:37,117273481,1379.810918,-9.99,,The Works
12/02/2023,9:33,117273481,1350.850918,-28.96,,The Works
13/02/2023,9:19,117273481,1345.500918,-5.35,,Coffee #1
13/02/2023,17:36,117273481,1329.260918,-16.24,,Deliveroo
13/02/2023,18:53,117273481,1292.840365,-36.42,,Etsy
14/02/2023,9:20,117273481,1287.440365,-5.4,,Starbucks
15/02/2023,9:21,117273481,1281.740365,-5.7,,Coffee #1
16/02/2023,9:21,117273481,1275.240365,-6.5,,Coffee #1
17/02/2023,9:14,117273481,1268.740365,-6.5,,Starbucks
17/02/2023,17:53,117273481,1187.260365,-81.48,,Five Senses Art
18/02/2023,11:40,117273481,1165.290365,-21.97,,The Works
19/02/2023,9:39,117273481,1085.055365,-80.23,,Topshop
19/02/2023,9:55,117273481,1025.055365,-60,,Matalan
19/02/2023,10:19,117273481,984.9453651,-40.11,,Loosely Fitted
19/02/2023,10:38,117273481,976.7028651,-8.24,,Fat Face
19/02/2023,11:03,117273481,972.9603651,-3.74,,Fat Face
19/02/2023,11:36,117273481,965.4678651,-7.49,,Topshop
19/02/2023,12:01,117273481,936.6003651,-28.87,,Matalan
19/02/2023,12:28,117273481,917.8503651,-18.75,,Loosely Fitted
19/02/2023,13:08,117273481,850.3503651,-67.5,,Revella
19/02/2023,14:16,117273481,801.2403651,-49.11,,Revella
19/02/2023,14:51,117273481,712.3653651,-88.88,,Fat Face
19/02/2023,15:34,117273481,648.9978651,-63.37,,Topshop
19/02/2023,15:53,117273481,630.2628651,-18.73,,Matalan
19/02/2023,16:13,117273481,584.5203651,-45.74,,Loosely Fitted
19/02/2023,16:30,117273481,532.0278651,-52.49,,Loosely Fitted
19/02/2023,16:57,117273481,493.7853651,-38.24,,Matalan
19/02/2023,17:09,117273481,407.5353651,-86.25,,Topshop
19/02/2023,17:44,117273481,378.3003651,-29.23,,Fat Face
19/02/2023,18:00,117273481,345.6903651,-32.61,,Revella
21/02/2023,9:09,117273481,339.9903651,-5.7,,Coffee #1
22/02/2023,9:05,117273481,334.4903651,-5.5,,Coffee #1
23/02/2023,9:02,117273481,329.3903651,-5.1,,Coffee #1
23/02/2023,17:36,117273481,304.4203651,-24.97,,The Works
23/02/2023,19:37,117273481,185.4917651,-118.93,,Sainsbury
24/02/2023,9:06,117273481,179.6917651,-5.8,,Coffee #1
24/02/2023,18:46,117273481,158.7117651,-20.98,,Hobby Lobby
27/02/2023,9:06,117273481,153.0617651,-5.65,,Coffee #1
27/02/2023,17:56,117273481,123.1117651,-29.95,,The Works
28/02/2023,0:00,117273481,3499.111765,3376,,CPA
28/02/2023,9:11,117273481,3493.411765,-5.7,,Coffee #1
01/03/2023,0:00,117273481,2596.411765,-897,,LBG
28/02/2023,23:59,117273481,2588.421765,-7.99,,Amazon
28/02/2023,23:59,117273481,2580.431765,-7.99,,Disney
01/03/2023,9:07,117273481,2573.131765,-7.3,,Coffee #1
01/03/2023,17:36,117273481,2503.151765,-69.98,,Five Senses Art
02/03/2023,6:04,117273481,2476.193842,-26.96,,Fat Face
02/03/2023,9:17,117273481,2470.693842,-5.5,,Starbucks
03/03/2023,9:13,117273481,2465.193842,-5.5,,Coffee #1
05/03/2023,10:17,117273481,2415.203842,-49.99,,Brilliant Brushes
06/03/2023,9:22,117273481,2408.703842,-6.5,,Coffee #1
06/03/2023,18:17,117273481,2334.556342,-74.15,,Sainsbury
07/03/2023,9:21,117273481,2328.056342,-6.5,,Coffee #1
07/03/2023,20:39,117273481,2314.765121,-13.29,,Boots
08/03/2023,9:23,117273481,2309.265121,-5.5,,Coffee #1
09/03/2023,9:19,117273481,2303.265121,-6,,Coffee #1
10/03/2023,9:21,117273481,2297.365121,-5.9,,Coffee #1
